"species","latitude","longitude","date_obs","source"
"Rhinolophus ferrumequinum",45.34671,0.50954,2023-01-18,"gbif"
"Rhinolophus ferrumequinum",45.43379,0.37767,2023-01-05,"gbif"
"Rhinolophus ferrumequinum",44.35097,0.30228,2023-01-12,"gbif"
"Rhinolophus ferrumequinum",44.89673,0.52951,2023-01-31,"gbif"
"Rhinolophus ferrumequinum",45.85497,-0.67415,2023-01-23,"gbif"
"Rhinolophus ferrumequinum",44.99902,1.15975,2023-01-16,"gbif"
"Rhinolophus ferrumequinum",44.80948,0.65988,2023-01-13,"gbif"
"Rhinolophus ferrumequinum",44.80948,0.65988,2023-01-13,"gbif"
"Rhinolophus ferrumequinum",44.71675,0.53741,2023-01-27,"gbif"
"Rhinolophus ferrumequinum",44.80948,0.65988,2023-01-13,"gbif"
"Rhinolophus ferrumequinum",44.26101,0.30656,2023-01-12,"gbif"
"Rhinolophus ferrumequinum",44.07797,0.19029,2023-01-09,"gbif"
"Rhinolophus ferrumequinum",44.07797,0.19029,2023-01-09,"gbif"
"Rhinolophus ferrumequinum",43.98803,0.19473,2023-01-18,"gbif"
"Rhinolophus ferrumequinum",44.17106,0.31082,2023-01-09,"gbif"
"Rhinolophus ferrumequinum",47.364691,5.946642,2023-01-22,"gbif"
"Rhinolophus ferrumequinum",47.241442,-0.026488,2023-02-08,"gbif"
"Rhinolophus ferrumequinum",47.24144,-0.026696,2023-02-08,"gbif"
"Rhinolophus ferrumequinum",47.241407,-0.026756,2023-02-08,"gbif"
"Rhinolophus ferrumequinum",47.241348,-0.026499,2023-02-08,"gbif"
"Rhinolophus ferrumequinum",47.241481,-0.026988,2023-02-08,"gbif"
"Rhinolophus ferrumequinum",43.630109,2.216994,2023-02-22,"gbif"
"Rhinolophus ferrumequinum",47.241227,-0.02657,2023-02-08,"gbif"
"Rhinolophus ferrumequinum",49.163571,3.122026,2023-02-12,"gbif"
"Rhinolophus ferrumequinum",42.93169,1.3477,2023-02-20,"gbif"
"Rhinolophus ferrumequinum",43.25642,-0.76095,2023-02-03,"gbif"
"Rhinolophus ferrumequinum",43.25642,-0.76095,2023-02-09,"gbif"
"Rhinolophus ferrumequinum",43.25642,-0.76095,2023-02-09,"gbif"
"Rhinolophus ferrumequinum",43.25642,-0.76095,2023-02-06,"gbif"
"Rhinolophus ferrumequinum",43.25642,-0.76095,2023-02-06,"gbif"
"Rhinolophus ferrumequinum",43.25642,-0.76095,2023-02-08,"gbif"
"Rhinolophus ferrumequinum",43.25642,-0.76095,2023-02-06,"gbif"
"Rhinolophus ferrumequinum",44.83328,2.55715,2023-02-03,"gbif"
"Rhinolophus ferrumequinum",44.83328,2.55715,2023-02-03,"gbif"
"Rhinolophus ferrumequinum",44.83328,2.55715,2023-02-03,"gbif"
"Rhinolophus ferrumequinum",44.74325,2.55786,2023-02-03,"gbif"
"Rhinolophus ferrumequinum",44.83328,2.55715,2023-02-03,"gbif"
"Rhinolophus ferrumequinum",44.54684,1.04857,2023-02-03,"gbif"
"Rhinolophus ferrumequinum",44.71085,0.28503,2023-02-05,"gbif"
"Rhinolophus ferrumequinum",44.54454,0.92272,2023-02-08,"gbif"
"Rhinolophus ferrumequinum",44.63683,1.04545,2023-02-03,"gbif"
"Rhinolophus ferrumequinum",44.99454,0.90603,2023-02-04,"gbif"
"Rhinolophus ferrumequinum",44.43779,0.17242,2023-02-11,"gbif"
"Rhinolophus ferrumequinum",44.819,1.16564,2023-02-03,"gbif"
"Rhinolophus ferrumequinum",44.45211,0.8004,2023-02-08,"gbif"
"Rhinolophus ferrumequinum",44.43779,0.17242,2023-02-11,"gbif"
"Rhinolophus ferrumequinum",44.90684,1.03604,2023-02-04,"gbif"
"Rhinolophus ferrumequinum",44.819,1.16564,2023-02-03,"gbif"
"Rhinolophus ferrumequinum",44.71085,0.28503,2023-02-05,"gbif"
"Rhinolophus ferrumequinum",44.99454,0.90603,2023-02-04,"gbif"
"Rhinolophus ferrumequinum",45.09106,1.28386,2023-02-02,"gbif"
"Rhinolophus ferrumequinum",44.53952,0.67107,2023-02-08,"gbif"
"Rhinolophus ferrumequinum",44.80948,0.65988,2023-02-16,"gbif"
"Rhinolophus ferrumequinum",45.17905,1.15382,2023-02-02,"gbif"
"Rhinolophus ferrumequinum",45.17905,1.15382,2023-02-02,"gbif"
"Rhinolophus ferrumequinum",44.80948,0.65988,2023-02-16,"gbif"
"Rhinolophus ferrumequinum",45.17905,1.15382,2023-02-02,"gbif"
"Rhinolophus ferrumequinum",44.80948,0.65988,2023-02-16,"gbif"
"Rhinolophus ferrumequinum",45.49925,-0.52242,2023-02-26,"gbif"
"Rhinolophus ferrumequinum",49.006727,3.063458,2023-02-12,"gbif"
"Rhinolophus ferrumequinum",44.17106,0.31082,2023-02-24,"gbif"
"Rhinolophus ferrumequinum",47.980027,-3.860467,2023-03-02,"gbif"
"Rhinolophus ferrumequinum",45.851035,5.468111,2023-03-12,"gbif"
"Rhinolophus ferrumequinum",44.65322,2.55856,2023-03-03,"gbif"
"Rhinolophus ferrumequinum",45.1943,3.06367,2023-03-21,"gbif"
"Rhinolophus ferrumequinum",44.36213,0.80389,2023-03-09,"gbif"
"Rhinolophus ferrumequinum",44.99902,1.15975,2023-03-02,"gbif"
"Rhinolophus ferrumequinum",43.970973,7.570754,2023-03-12,"gbif"
"Rhinolophus ferrumequinum",44.17106,0.31082,2023-03-16,"gbif"
"Rhinolophus ferrumequinum",44.982984,0.725898,2023-04-13,"gbif"
"Rhinolophus ferrumequinum",45.1943,3.06367,2023-04-06,"gbif"
"Rhinolophus ferrumequinum",45.1943,3.06367,2023-04-06,"gbif"
"Rhinolophus ferrumequinum",44.83328,2.55715,2023-04-20,"gbif"
"Rhinolophus ferrumequinum",45.1943,3.06367,2023-04-06,"gbif"
"Rhinolophus ferrumequinum",44.06403,-0.30867,2023-04-17,"gbif"
"Rhinolophus ferrumequinum",44.35097,0.30228,2023-04-08,"gbif"
"Rhinolophus ferrumequinum",44.78728,-0.22472,2023-04-05,"gbif"
"Rhinolophus ferrumequinum",44.26101,0.30656,2023-04-18,"gbif"
"Rhinolophus ferrumequinum",44.69732,-0.21957,2023-04-28,"gbif"
"Rhinolophus ferrumequinum",44.36685,1.05477,2023-04-19,"gbif"
"Rhinolophus ferrumequinum",47.23689,2.07871,2023-04-24,"gbif"
"Rhinolophus ferrumequinum",43.41865,-0.76573,2023-04-19,"gbif"
"Rhinolophus ferrumequinum",45.09106,1.28386,2023-04-11,"gbif"
"Rhinolophus ferrumequinum",44.0811,0.31507,2023-04-18,"gbif"
"Rhinolophus ferrumequinum",44.202214,3.448033,2023-04-06,"gbif"
"Rhinolophus ferrumequinum",43.832094,7.24026,2023-04-12,"gbif"
"Rhinolophus ferrumequinum",44.17106,0.31082,2023-04-27,"gbif"
"Rhinolophus ferrumequinum",46.938924,0.115425,2023-04-17,"gbif"
"Rhinolophus ferrumequinum",42.977632,1.064922,2023-05-19,"gbif"
"Rhinolophus ferrumequinum",42.6109,2.3886,2023-05-16,"gbif"
"Rhinolophus ferrumequinum",49.29839,0.04404,2023-05-15,"gbif"
"Rhinolophus ferrumequinum",45.09106,1.28386,2023-05-26,"gbif"
"Rhinolophus ferrumequinum",48.97477,3.2049,2023-05-31,"gbif"
"Rhinolophus ferrumequinum",44.24388,-0.31916,2023-05-26,"gbif"
"Rhinolophus ferrumequinum",44.17106,0.31082,2023-05-24,"gbif"
"Rhinolophus ferrumequinum",44.90453,0.90939,2023-06-06,"gbif"
"Rhinolophus ferrumequinum",46.30043,-0.83415,2023-06-26,"gbif"
"Rhinolophus ferrumequinum",46.30043,-0.83415,2023-06-26,"gbif"
"Rhinolophus ferrumequinum",43.74629,-1.08148,2023-06-08,"gbif"
"Rhinolophus ferrumequinum",43.70094,-1.05966,2023-06-08,"gbif"
"Rhinolophus ferrumequinum",45.36113,1.27554,2023-06-21,"gbif"
"Rhinolophus ferrumequinum",44.89673,0.52951,2023-06-29,"gbif"
"Rhinolophus ferrumequinum",44.16792,0.18585,2023-06-29,"gbif"
"Rhinolophus ferrumequinum",44.0811,0.31507,2023-06-26,"gbif"
"Rhinolophus ferrumequinum",45.26456,0.89589,2023-06-21,"gbif"
"Rhinolophus ferrumequinum",43.98476,0.07016,2023-06-26,"gbif"
"Rhinolophus ferrumequinum",45.26907,1.15083,2023-06-21,"gbif"
"Rhinolophus ferrumequinum",49.05783,1.70018,2023-06-07,"gbif"
"Rhinolophus ferrumequinum",48.96792,1.70243,2023-06-07,"gbif"
"Rhinolophus ferrumequinum",45.17208,0.77203,2023-06-05,"gbif"
"Rhinolophus ferrumequinum",42.27013,8.847078,2023-06-27,"gbif"
"Rhinolophus ferrumequinum",43.712849,4.227348,2023-07-08,"gbif"
"Rhinolophus ferrumequinum",43.550653,3.385983,2023-07-15,"gbif"
"Rhinolophus ferrumequinum",45.1943,3.06367,2023-07-21,"gbif"
"Rhinolophus ferrumequinum",44.74325,2.55786,2023-07-19,"gbif"
"Rhinolophus ferrumequinum",44.74325,2.55786,2023-07-18,"gbif"
"Rhinolophus ferrumequinum",44.74325,2.55786,2023-07-17,"gbif"
"Rhinolophus ferrumequinum",44.74325,2.55786,2023-07-18,"gbif"
"Rhinolophus ferrumequinum",47.4781,-0.65269,2023-07-11,"gbif"
"Rhinolophus ferrumequinum",47.4781,-0.65269,2023-07-11,"gbif"
"Rhinolophus ferrumequinum",44.0747,0.06553,2023-07-04,"gbif"
"Rhinolophus ferrumequinum",49.9512,1.25967,2023-07-05,"gbif"
"Rhinolophus ferrumequinum",49.6551,1.02759,2023-07-05,"gbif"
"Rhinolophus ferrumequinum",49.9531,1.39886,2023-07-05,"gbif"
"Rhinolophus ferrumequinum",44.86958,-0.4829,2023-08-23,"gbif"
"Rhinolophus ferrumequinum",49.05783,1.70018,2023-08-03,"gbif"
"Rhinolophus ferrumequinum",49.05783,1.70018,2023-08-02,"gbif"
"Rhinolophus ferrumequinum",46.882324,1.00409,2023-08-09,"gbif"
"Rhinolophus ferrumequinum",47.13602,6.055911,2023-08-20,"gbif"
"Rhinolophus ferrumequinum",47.06102,6.68174,2023-08-16,"gbif"
"Rhinolophus ferrumequinum",43.650889,6.152771,2023-09-10,"gbif"
"Rhinolophus ferrumequinum",48.43051,-2.10661,2023-09-17,"gbif"
"Rhinolophus ferrumequinum",49.85934,1.12381,2023-09-14,"gbif"
"Rhinolophus ferrumequinum",49.9531,1.39886,2023-09-14,"gbif"
"Rhinolophus ferrumequinum",49.9512,1.25967,2023-09-14,"gbif"
"Rhinolophus ferrumequinum",49.85934,1.12381,2023-09-14,"gbif"
