"species","latitude","longitude","date_obs","source"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-23,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-22,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-21,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-21,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-22,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-21,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-21,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-13,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-15,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-29,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-22,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-13,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-22,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-13,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-22,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-23,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-28,"gbif"
"Barbastella barbastellus",48.50424,5.23396,2022-03-22,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-24,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-24,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-24,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-24,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-24,"gbif"
